InvoiceNo,ItemCode,Most popular item of the day,Quantity,Date,UnitPrice,CustomerID
809,21992,VINTAGE PAISLEY STATIONERY SET,1,16/02/2021,2.95,61453
810,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,17/02/2021,2.95,90129
811,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,18/02/2021,1.25,67602
812,22735,RIBBON REEL SOCKS AND MITTENS,2,19/02/2021,1.65,98324
813,22952,60 CAKE CASES VINTAGE CHRISTMAS,2,20/02/2021,0.55,24599
814,22945,CHRISTMAS METAL TAGS ASSORTED ,6,21/02/2021,0.85,88088
815,21816,CHRISTMAS TREE T-LIGHT HOLDER,2,22/02/2021,1.45,57369
816,21815,STAR  T-LIGHT HOLDER ,4,23/02/2021,1.45,63514
817,21814,HEART T-LIGHT HOLDER ,2,24/02/2021,1.45,75806
818,10125,MINI FUNKY DESIGN TAPES,2,25/02/2021,0.85,43040
819,22810,SET OF 6 T-LIGHTS SNOWMEN,1,26/02/2021,2.95,96291
820,22573,STAR WOODEN CHRISTMAS DECORATION,1,27/02/2021,0.85,84004
821,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,1,28/02/2021,0.85,71718
822,22603,CHRISTMAS RETROSPOT TREE WOOD,2,01/03/2021,0.85,51240
823,22809,SET OF 6 T-LIGHTS SANTA,1,02/03/2021,2.95,34860
824,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,03/03/2021,1.25,43053
825,20866,BLUE ROSE FABRIC MIRROR,1,04/03/2021,1.25,45103
826,85095,THREE CANVAS LUGGAGE TAGS,1,05/03/2021,1.95,38961
827,22333,RETROSPOT PARTY BAG + STICKER SET,1,06/03/2021,1.65,20530
828,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,07/03/2021,1.65,65586
829,21584,RETROSPOT SMALL TUBE MATCHES,1,08/03/2021,1.65,77876
830,22866,HAND WARMER SCOTTY DOG DESIGN,1,09/03/2021,2.1,53303
831,22731,3D CHRISTMAS STAMPS STICKERS ,2,10/03/2021,1.25,30777
832,22866,HAND WARMER SCOTTY DOG DESIGN,1,11/03/2021,2.1,12345
833,22866,HAND WARMER SCOTTY DOG DESIGN,3,12/03/2021,2.1,77881
834,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,13/03/2021,1.49,28730
835,22956,36 FOIL HEART CAKE CASES,1,14/03/2021,2.1,81981
836,22945,CHRISTMAS METAL TAGS ASSORTED ,6,15/03/2021,0.85,92222
837,22582,PACK OF 6 SWEETIE GIFT BOXES,1,16/03/2021,2.55,32827
838,21212,PACK OF 72 RETROSPOT CAKE CASES,1,17/03/2021,0.55,53312
839,21212,PACK OF 72 RETROSPOT CAKE CASES,2,18/03/2021,0.55,30787
840,22585,PACK OF 6 BIRDY GIFT TAGS,3,19/03/2021,1.25,34883
841,21121,SET/10 RED POLKADOT PARTY CANDLES,1,20/03/2021,1.25,34886
842,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,21/03/2021,1.25,73799
843,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,22/03/2021,1.65,55367
844,21815,STAR  T-LIGHT HOLDER ,1,23/03/2021,1.45,65610
845,85231B,CINAMMON SET OF 9 T-LIGHTS,3,24/03/2021,0.85,77899
846,85231G,ORANGE SCENTED SET/9 T-LIGHTS,5,25/03/2021,0.85,22603
847,22082,RIBBON REEL STRIPES DESIGN ,5,26/03/2021,1.65,34894
848,22500,SET OF 2 TINS JARDIN DE PROVENCE,2,27/03/2021,4.95,38994
849,22742,MAKE YOUR OWN PLAYTIME CARD KIT,1,28/03/2021,2.95,34900
850,21329,DINOSAURS  WRITING SET ,1,29/03/2021,1.65,84055
851,21328,BALLOONS  WRITING SET ,1,30/03/2021,1.65,92249
852,21327,SKULLS WRITING SET ,1,31/03/2021,1.65,94300
853,21992,VINTAGE PAISLEY STATIONERY SET,1,01/04/2021,2.95,28765
854,21738,COSY SLIPPER SHOES SMALL  RED ,1,02/04/2021,2.95,43102
855,48173C,DOORMAT BLACK FLOCK ,1,03/04/2021,7.95,88158
856,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,04/04/2021,1.95,16488
857,22960,JAM MAKING SET WITH JARS,1,05/04/2021,4.25,75882
858,85231G,ORANGE SCENTED SET/9 T-LIGHTS,1,06/04/2021,0.85,20589
859,85231B,CINAMMON SET OF 9 T-LIGHTS,2,07/04/2021,0.85,63597
860,22866,HAND WARMER SCOTTY DOG DESIGN,1,08/04/2021,2.1,67695
861,72818,CHRISTMAS DECOUPAGE CANDLE,1,09/04/2021,0.85,96367
862,21814,HEART T-LIGHT HOLDER ,8,10/04/2021,1.45,63599
863,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,11/04/2021,2.1,51313
864,22312,OFFICE MUG WARMER POLKADOT,1,12/04/2021,2.95,55411
865,22197,SMALL POPCORN HOLDER,6,13/04/2021,0.85,45175
866,22663,JUMBO BAG DOLLY GIRL DESIGN,1,14/04/2021,1.95,43128
867,22960,JAM MAKING SET WITH JARS,6,15/04/2021,4.25,71801
868,22961,JAM MAKING SET PRINTED,12,16/04/2021,1.45,77944
869,21314,SMALL GLASS HEART TRINKET POT,48,17/04/2021,1.85,30840
870,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,18/04/2021,3.39,73852
871,21137,BLACK RECORD COVER FRAME,480,19/04/2021,3.39,63609
872,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,20/04/2021,2.1,30843
873,20979,36 PENCILS TUBE RED RETROSPOT,16,21/04/2021,1.25,53376
874,20977,36 PENCILS TUBE WOODLAND,16,22/04/2021,1.25,67713
875,22619,SET OF 6 SOLDIER SKITTLES,4,23/04/2021,3.75,28800
876,22571,ROCKING HORSE RED CHRISTMAS ,96,24/04/2021,0.72,73860
877,22595,CHRISTMAS GINGHAM HEART,144,25/04/2021,0.72,80004
878,22593,CHRISTMAS GINGHAM STAR,144,26/04/2021,0.72,59526
879,22633,HAND WARMER UNION JACK,12,27/04/2021,2.1,96393
880,22632,HAND WARMER RED RETROSPOT,12,28/04/2021,2.1,57482
881,22423,REGENCY CAKESTAND 3 TIER,16,29/04/2021,10.95,92298
882,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,30/04/2021,1.95,45193
883,22738,RIBBON REEL SNOWY VILLAGE,5,01/05/2021,1.65,73868
884,21621,VINTAGE UNION JACK BUNTING,1,02/05/2021,8.5,24718
885,22960,JAM MAKING SET WITH JARS,8,03/05/2021,4.25,77965
886,22082,RIBBON REEL STRIPES DESIGN ,5,04/05/2021,1.65,22672
887,47563A,RETRO LONGBOARD IRONING BOARD COVER,1,05/05/2021,3.75,51340
888,84558A,3D DOG PICTURE PLAYING CARDS,1,06/05/2021,2.95,67723
889,21592,RETROSPOT CIGAR BOX MATCHES ,1,07/05/2021,1.25,16532
890,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,2,08/05/2021,1.25,49301
891,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,09/05/2021,2.55,28822
892,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,10/05/2021,2.55,84119
893,21577,SAVE THE PLANET COTTON TOTE BAG,1,11/05/2021,2.25,92312
894,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,12/05/2021,0.85,75935
895,22087,PAPER BUNTING WHITE LACE,1,13/05/2021,2.95,39072
896,22651,GENTLEMAN SHIRT REPAIR KIT ,2,14/05/2021,0.85,20643
897,22713,CARD I LOVE LONDON ,12,15/05/2021,0.42,37027
898,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,16/05/2021,2.95,32935
899,21370,MIRRORED WALL ART FOXY,2,17/05/2021,6.35,37033
900,21367,MIRRORED WALL ART GENTS,1,18/05/2021,2.55,34986
901,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,19/05/2021,4.25,28845
902,22961,JAM MAKING SET PRINTED,1,20/05/2021,1.45,80046
903,21895,POTTING SHED SOW 'N' GROW SET,1,21/05/2021,4.25,98478
904,22468,BABUSHKA LIGHTS STRING OF 10,1,22/05/2021,6.75,39090
905,21034,REX CASH+CARRY JUMBO SHOPPER,1,23/05/2021,0.95,32948
906,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,24/05/2021,4.25,30901
907,22867,HAND WARMER BIRD DESIGN,1,25/05/2021,2.1,71864
908,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,26/05/2021,2.1,80057
909,21190,PINK HEARTS PAPER GARLAND,1,27/05/2021,1.65,24762
910,21894,POTTING SHED SEED ENVELOPES,3,28/05/2021,1.25,90302
911,70007,HI TEC ALPINE HAND WARMER,3,29/05/2021,1.65,75967
912,22940,FELTCRAFT CHRISTMAS FAIRY,1,30/05/2021,4.25,41154
913,70007,HI TEC ALPINE HAND WARMER,1,31/05/2021,1.65,78020
914,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3,01/06/2021,2.55,16581
915,22150,3 STRIPEY MICE FELTCRAFT,1,02/06/2021,1.95,47300
916,22149,FELTCRAFT 6 FLOWER FRIENDS,2,03/06/2021,2.1,75973
917,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,04/06/2021,2.1,90312
918,21622,VINTAGE UNION JACK CUSHION COVER,10,05/06/2021,4.95,14538
919,46000M,POLYESTER FILLER PAD 45x45cm,10,06/06/2021,1.55,26827
920,22630,DOLLY GIRL LUNCH BOX,2,07/06/2021,1.95,14542
921,22616,PACK OF 12 LONDON TISSUES ,12,08/06/2021,0.29,47311
922,22712,CARD DOLLY GIRL ,12,09/06/2021,0.42,49365
923,22983,CARD BILLBOARD FONT,12,10/06/2021,0.42,30939
924,22024,RAINY LADIES BIRTHDAY CARD,12,11/06/2021,0.42,28892
925,22113,GREY HEART HOT WATER BOTTLE,3,12/06/2021,3.75,92381
926,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,13/06/2021,3.75,75998
927,21488,RED WHITE SCARF  HOT WATER BOTTLE,2,14/06/2021,3.95,14559
928,22900, SET 2 TEA TOWELS I LOVE LONDON ,7,15/06/2021,2.95,96480
929,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,3,16/06/2021,2.95,24801
930,21035,SET/2 RED RETROSPOT TEA TOWELS ,3,17/06/2021,2.95,51425
931,21755,LOVE BUILDING BLOCK WORD,6,18/06/2021,5.95,78052
932,21754,HOME BUILDING BLOCK WORD,6,19/06/2021,5.95,94437
933,84879,ASSORTED COLOUR BIRD ORNAMENT,16,20/06/2021,1.69,96484
934,22784,LANTERN CREAM GAZEBO ,3,21/06/2021,4.95,16613
935,21441,BLUE BIRDHOUSE DECORATION,12,22/06/2021,0.85,82154
936,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,23/06/2021,2.95,67821
937,22423,REGENCY CAKESTAND 3 TIER,2,24/06/2021,12.75,30959
938,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,72,25/06/2021,1.06,24818
939,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,26/06/2021,0.55,26869
940,22960,JAM MAKING SET WITH JARS,-6,27/06/2021,4.25,69878
941,22865,HAND WARMER OWL DESIGN,36,28/06/2021,2.1,55542
942,22485,SET OF 2 WOODEN MARKET CRATES,4,29/06/2021,12.75,78072
943,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,30/06/2021,2.95,33016
944,22633,HAND WARMER UNION JACK,36,01/07/2021,2.1,67832
945,22866,HAND WARMER SCOTTY DOG DESIGN,36,02/07/2021,2.1,80122
946,21794,CLASSIC FRENCH STYLE BASKET NATURAL,1,03/07/2021,6.75,76029
947,20707,CRAZY DAISY HEART DECORATION,1,04/07/2021,1.25,24831
948,21175,GIN + TONIC DIET METAL SIGN,1,05/07/2021,2.1,41216
949,22926,IVORY GIANT GARDEN THERMOMETER,1,06/07/2021,5.95,33030
950,22588,CARD HOLDER GINGHAM HEART,2,07/07/2021,2.55,49415
951,21292,SMALL STRIPES CHOCOLATE GIFT BAG ,16,08/07/2021,0.85,67851
952,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,09/07/2021,2.95,90380
953,22632,HAND WARMER RED RETROSPOT,4,10/07/2021,2.1,88333
954,22633,HAND WARMER UNION JACK,3,11/07/2021,2.1,37134
955,22670,FRENCH WC SIGN BLUE METAL,1,12/07/2021,1.25,55565
956,21867,PINK UNION JACK  LUGGAGE TAG,1,13/07/2021,1.25,69899
957,22760,"TRAY, BREAKFAST IN BED",1,14/07/2021,12.75,67860
958,22107,PIZZA PLATE IN BOX,2,15/07/2021,3.75,55572
959,22470,HEART OF WICKER LARGE,1,16/07/2021,2.95,74007
960,21486,PINK HEART DOTS HOT WATER BOTTLE,1,17/07/2021,3.75,98583
961,22151,PLACE SETTING WHITE HEART,14,18/07/2021,0.42,67865
962,22643,SET OF 4 NAPKIN CHARMS LEAVES   ,4,19/07/2021,2.55,33050
963,22642,SET OF 4 NAPKIN CHARMS STARS   ,4,20/07/2021,2.55,67867
964,22604,SET OF 4 NAPKIN CHARMS CUTLERY,3,21/07/2021,2.55,94493
965,22099,CARAVAN SQUARE TISSUE BOX,2,22/07/2021,1.25,18721
966,22553,PLASTERS IN TIN SKULLS,1,23/07/2021,1.65,45347
967,22551,PLASTERS IN TIN SPACEBOY,1,24/07/2021,1.65,26916
968,22653,BUTTON BOX ,1,25/07/2021,1.95,55593
969,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,26/07/2021,1.65,94507
970,22906,12 MESSAGE CARDS WITH ENVELOPES,6,27/07/2021,1.65,47406
971,22754,SMALL RED BABUSHKA NOTEBOOK ,1,28/07/2021,0.85,92469
972,22938,CUPCAKE LACE PAPER SET 6,5,29/07/2021,1.95,47414
973,22812,PACK 3 BOXES CHRISTMAS PANNETONE,3,30/07/2021,1.95,69943
974,22919,HERB MARKER MINT,2,31/07/2021,0.65,88379
975,22917,HERB MARKER ROSEMARY,1,01/08/2021,0.65,71997
976,22920,HERB MARKER BASIL,3,02/08/2021,0.65,63806
977,22921,HERB MARKER CHIVES ,2,03/08/2021,0.65,61759
978,22918,HERB MARKER PARSLEY,2,04/08/2021,0.65,90433
979,22916,HERB MARKER THYME,1,05/08/2021,0.65,31042
980,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,06/08/2021,2.95,26947
981,22575,METAL MERRY CHRISTMAS WREATH,1,07/08/2021,1.95,10563
982,21804,WHITE CHRISTMAS GARLAND STARS TREES,3,08/08/2021,3.75,24901
983,21584,RETROSPOT SMALL TUBE MATCHES,12,09/08/2021,1.65,43334
984,21588,RETROSPOT GIANT TUBE MATCHES,3,10/08/2021,2.55,43335
985,22152,PLACE SETTING WHITE STAR,12,11/08/2021,0.42,84295
986,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,12/08/2021,2.1,94535
987,22955,36 FOIL STAR CAKE CASES ,2,13/08/2021,2.1,41292
988,22956,36 FOIL HEART CAKE CASES,2,14/08/2021,2.1,84302
989,22582,PACK OF 6 SWEETIE GIFT BOXES,2,15/08/2021,2.55,65870
990,22583,PACK OF 6 HANDBAG GIFT BOXES,3,16/08/2021,2.55,69971
991,22241,GARLAND WOODEN HAPPY EASTER,2,17/08/2021,1.25,92499
992,22904,CALENDAR PAPER CUT DESIGN,3,18/08/2021,2.95,65877
993,22905,CALENDAR IN SEASON DESIGN,2,19/08/2021,2.95,16725
994,22197,SMALL POPCORN HOLDER,3,20/08/2021,0.85,59733
995,22092,BLUE PAISLEY TISSUE BOX,1,21/08/2021,1.25,94548
996,22469,HEART OF WICKER SMALL,1,22/08/2021,1.65,41300
997,22100,SKULLS SQUARE TISSUE BOX,1,23/08/2021,1.25,96603
998,22096,PINK PAISLEY SQUARE TISSUE BOX ,1,24/08/2021,1.25,39268
999,22583,PACK OF 6 HANDBAG GIFT BOXES,1,25/08/2021,2.55,57706
1000,21358,TOAST ITS - HAPPY BIRTHDAY,2,26/08/2021,1.25,16748
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
